epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1027.19,0.81838,0.96864,1.14942,0.65243,0.55533,0.50949,0.33674,1.23781,1.43034,1.29544,0.0005941,0.0005941,0.0005941
43,1052.01,0.83194,1.07681,1.12309,0.70303,0.5259,0.53481,0.33628,1.27771,1.43812,1.31312,0.0005842,0.0005842,0.0005842
44,1074.97,0.88772,0.98422,1.17331,0.73182,0.53922,0.55403,0.34742,1.25012,1.40897,1.31831,0.0005743,0.0005743,0.0005743
45,1099.08,0.84764,1.00253,1.11706,0.66409,0.65165,0.54284,0.33005,1.25265,1.39772,1.3194,0.0005644,0.0005644,0.0005644
46,1122.02,0.84263,0.98237,1.1838,0.70149,0.62248,0.52617,0.32501,1.26746,1.40877,1.32809,0.0005545,0.0005545,0.0005545
47,1146.61,0.80286,1.01197,1.14615,0.70674,0.60806,0.51425,0.31824,1.28499,1.45267,1.33825,0.0005446,0.0005446,0.0005446
48,1170.21,0.83436,0.99609,1.12625,0.72528,0.56491,0.50359,0.32041,1.25367,1.51814,1.32729,0.0005347,0.0005347,0.0005347
49,1191.95,0.90853,1.14704,1.16705,0.70409,0.58314,0.49223,0.32403,1.21088,1.4921,1.31297,0.0005248,0.0005248,0.0005248
50,1217.67,0.87784,1.27183,1.13787,0.68735,0.59351,0.49602,0.32616,1.20124,1.4819,1.3239,0.0005149,0.0005149,0.0005149
51,1240.69,0.84782,0.97798,1.18702,0.68146,0.5972,0.52421,0.33493,1.20753,1.45201,1.32893,0.000505,0.000505,0.000505
52,1265.32,0.78285,0.84894,1.15144,0.65903,0.60698,0.5356,0.32933,1.23075,1.41253,1.33909,0.0004951,0.0004951,0.0004951
53,1289.99,0.82185,1.15115,1.11735,0.69589,0.57631,0.54919,0.33058,1.22109,1.39989,1.34108,0.0004852,0.0004852,0.0004852
54,1314.04,0.79974,0.9196,1.11014,0.53127,0.66224,0.53987,0.32812,1.24078,1.40657,1.35244,0.0004753,0.0004753,0.0004753
55,1339.2,0.84442,1.05853,1.1256,0.66687,0.6033,0.54703,0.33337,1.25407,1.41395,1.36308,0.0004654,0.0004654,0.0004654
56,1364.48,0.78786,0.87735,1.10184,0.6836,0.53413,0.53615,0.33798,1.26274,1.3772,1.3535,0.0004555,0.0004555,0.0004555
57,1387.96,0.78658,1.09269,1.09731,0.66654,0.56157,0.53308,0.34243,1.23788,1.34596,1.31756,0.0004456,0.0004456,0.0004456
58,1411.86,0.99682,1.26644,1.31998,0.6386,0.58922,0.52316,0.35091,1.20438,1.32241,1.27836,0.0004357,0.0004357,0.0004357
59,1434.4,0.82057,0.91749,1.09759,0.60515,0.65821,0.53365,0.35641,1.19942,1.32228,1.26794,0.0004258,0.0004258,0.0004258
60,1458.49,0.99498,1.83234,1.24692,0.61987,0.65195,0.55535,0.36145,1.17572,1.27913,1.24922,0.0004159,0.0004159,0.0004159
61,1481.43,0.9158,1.53182,1.17594,0.59225,0.64349,0.55996,0.36562,1.1816,1.27811,1.26204,0.000406,0.000406,0.000406
62,1504.37,0.71981,0.77784,1.09102,0.57528,0.64972,0.55776,0.3669,1.1708,1.26726,1.27148,0.0003961,0.0003961,0.0003961
63,1529.77,0.87594,0.96462,1.17909,0.56345,0.65215,0.55714,0.36096,1.16781,1.2513,1.27788,0.0003862,0.0003862,0.0003862
64,1552.52,0.78062,0.853,1.11088,0.59836,0.64957,0.54829,0.35311,1.15346,1.25842,1.28488,0.0003763,0.0003763,0.0003763
65,1576.53,0.77593,0.88901,1.14394,0.62779,0.64277,0.53434,0.34528,1.17729,1.2979,1.29127,0.0003664,0.0003664,0.0003664
66,1600.44,0.73933,0.79449,1.04416,0.66528,0.63341,0.53574,0.34387,1.17573,1.33547,1.28983,0.0003565,0.0003565,0.0003565
67,1623.14,0.92984,0.99035,1.23316,0.68131,0.64016,0.52915,0.34287,1.18988,1.33458,1.30643,0.0003466,0.0003466,0.0003466
68,1647.17,0.77291,0.84704,1.14319,0.69042,0.63105,0.51777,0.33946,1.20949,1.30325,1.33301,0.0003367,0.0003367,0.0003367
69,1669.88,0.7193,0.91215,1.07808,0.67789,0.56438,0.50957,0.33742,1.21159,1.30958,1.32543,0.0003268,0.0003268,0.0003268
70,1695.04,0.70025,0.85728,1.07864,0.68919,0.56349,0.50813,0.33378,1.2174,1.30894,1.32685,0.0003169,0.0003169,0.0003169
71,1718.05,0.69168,0.73748,1.073,0.68346,0.56438,0.5109,0.33202,1.22669,1.3231,1.33074,0.000307,0.000307,0.000307
72,1742.4,0.7595,0.79896,1.09739,0.65954,0.56728,0.51261,0.33325,1.23481,1.3128,1.32893,0.0002971,0.0002971,0.0002971
73,1767.24,0.74359,0.75523,1.07929,0.63761,0.57624,0.51348,0.33333,1.20988,1.29765,1.31327,0.0002872,0.0002872,0.0002872
74,1789.65,0.72426,0.86678,1.05197,0.70426,0.46554,0.51751,0.34087,1.1923,1.27812,1.29453,0.0002773,0.0002773,0.0002773
75,1811.53,0.92234,2.22307,1.46361,0.67455,0.49236,0.52523,0.34834,1.17177,1.26427,1.26826,0.0002674,0.0002674,0.0002674
76,1834.57,0.677,0.75675,1.05813,0.69591,0.4773,0.53292,0.35677,1.12961,1.19382,1.24247,0.0002575,0.0002575,0.0002575
77,1857.81,0.75684,0.82351,1.08094,0.69261,0.47266,0.52444,0.35237,1.13604,1.19563,1.24325,0.0002476,0.0002476,0.0002476
78,1882.33,0.71578,0.761,1.06694,0.66215,0.56964,0.52501,0.35473,1.15094,1.20725,1.26098,0.0002377,0.0002377,0.0002377
79,1906.08,0.66291,0.68533,1.06384,0.6699,0.64593,0.52179,0.35357,1.16876,1.20686,1.27973,0.0002278,0.0002278,0.0002278
80,1928.82,0.7721,0.87819,1.14847,0.71789,0.53701,0.53418,0.35216,1.18293,1.19979,1.29662,0.0002179,0.0002179,0.0002179
81,1952.55,0.65503,0.70033,1.03621,0.68751,0.56085,0.52287,0.34948,1.20242,1.19568,1.31496,0.000208,0.000208,0.000208
82,1976.55,0.75269,0.86359,1.11137,0.70775,0.55421,0.53751,0.34843,1.21535,1.19779,1.32579,0.0001981,0.0001981,0.0001981
83,2000.41,0.68374,0.72522,1.05047,0.703,0.55582,0.52715,0.34852,1.21133,1.19753,1.32883,0.0001882,0.0001882,0.0001882
84,2023.35,0.65304,0.65283,1.02003,0.68168,0.63599,0.54948,0.35718,1.18166,1.20369,1.29909,0.0001783,0.0001783,0.0001783
85,2046.59,0.73575,0.78919,1.08557,0.69764,0.62363,0.5588,0.35765,1.17087,1.21549,1.28575,0.0001684,0.0001684,0.0001684
86,2073.19,0.71603,0.74977,1.09062,0.69563,0.54168,0.55399,0.35699,1.16126,1.22077,1.27745,0.0001585,0.0001585,0.0001585
87,2097.67,0.72147,1.50852,1.20051,0.67753,0.61896,0.55355,0.36032,1.15385,1.23217,1.26548,0.0001486,0.0001486,0.0001486
88,2120.78,0.81403,0.85,1.25548,0.68715,0.68631,0.55494,0.35769,1.15521,1.23996,1.26815,0.0001387,0.0001387,0.0001387
89,2142.85,0.76177,0.78279,1.0963,0.68061,0.67807,0.5482,0.35677,1.1538,1.24256,1.26673,0.0001288,0.0001288,0.0001288
90,2166.37,0.75926,0.79154,1.05469,0.68909,0.66824,0.54338,0.35982,1.15176,1.23978,1.26881,0.0001189,0.0001189,0.0001189
91,2190.33,0.67195,0.90079,1.05852,0.52268,0.74037,0.55193,0.36024,1.14926,1.2398,1.26816,0.000109,0.000109,0.000109
92,2213.15,0.80615,0.99024,1.2773,0.57654,0.73747,0.55749,0.36227,1.14669,1.22596,1.26014,9.91e-05,9.91e-05,9.91e-05
93,2236.99,0.71275,1.31325,1.31935,0.60385,0.73444,0.55633,0.36251,1.14505,1.21968,1.26005,8.92e-05,8.92e-05,8.92e-05
94,2259.69,0.76977,1.16207,1.1869,0.54208,0.74134,0.56962,0.36906,1.1443,1.22276,1.25874,7.93e-05,7.93e-05,7.93e-05
95,2282.35,1.01291,1.13337,1.4615,0.54591,0.73804,0.56821,0.36757,1.15202,1.2223,1.26728,6.94e-05,6.94e-05,6.94e-05
96,2306.75,0.67846,0.9018,1.11448,0.7369,0.57632,0.56749,0.36762,1.16081,1.22523,1.27585,5.95e-05,5.95e-05,5.95e-05
97,2330.32,0.59027,0.85095,1.01451,0.73722,0.58062,0.54567,0.36494,1.16136,1.22297,1.27426,4.96e-05,4.96e-05,4.96e-05
98,2354.46,0.56712,1.27466,1.02459,0.73931,0.58396,0.543,0.36309,1.164,1.22063,1.2743,3.97e-05,3.97e-05,3.97e-05
99,2376.21,0.80037,0.95664,1.07072,0.73197,0.58867,0.54393,0.36199,1.16191,1.21535,1.27722,2.98e-05,2.98e-05,2.98e-05
100,2397.8,0.70803,1.0455,1.2327,0.72564,0.59805,0.55063,0.3637,1.15625,1.21146,1.27315,1.99e-05,1.99e-05,1.99e-05
