epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1074.7,0.78885,0.89595,1.13672,0.67592,0.45197,0.4983,0.33301,1.24508,1.41097,1.33919,0.0005941,0.0005941,0.0005941
43,1100.72,0.80943,0.9888,1.10663,0.72188,0.42196,0.49803,0.33528,1.24013,1.45012,1.33928,0.0005842,0.0005842,0.0005842
44,1124.08,0.8346,0.9307,1.13986,0.88045,0.42998,0.478,0.31083,1.25651,1.49633,1.34569,0.0005743,0.0005743,0.0005743
45,1147.53,0.83935,0.92162,1.10877,0.59581,0.56205,0.50125,0.31652,1.25292,1.47461,1.33469,0.0005644,0.0005644,0.0005644
46,1171.28,0.82777,0.93195,1.16386,0.763,0.5599,0.57563,0.34304,1.22937,1.43817,1.32518,0.0005545,0.0005545,0.0005545
47,1196.34,0.78092,0.93111,1.13114,0.88463,0.50365,0.64562,0.37725,1.20962,1.40501,1.31898,0.0005446,0.0005446,0.0005446
48,1221.84,0.81001,0.92774,1.12059,0.79715,0.55921,0.62398,0.38386,1.23158,1.40099,1.33845,0.0005347,0.0005347,0.0005347
49,1246.86,0.884,1.08445,1.1608,0.77883,0.6496,0.67019,0.40335,1.19733,1.34752,1.30921,0.0005248,0.0005248,0.0005248
50,1271.48,0.85608,1.23258,1.11916,0.87569,0.50612,0.63967,0.40507,1.1817,1.34466,1.28016,0.0005149,0.0005149,0.0005149
51,1296.28,0.83193,0.92276,1.1541,0.90333,0.49543,0.61323,0.40731,1.18915,1.3736,1.2776,0.000505,0.000505,0.000505
52,1321.31,0.77605,0.8185,1.16746,0.81243,0.57033,0.62586,0.39167,1.22977,1.40805,1.30494,0.0004951,0.0004951,0.0004951
53,1347.72,0.72552,1.0306,1.08149,0.82129,0.55977,0.61069,0.39679,1.23765,1.4209,1.32778,0.0004852,0.0004852,0.0004852
54,1371.46,0.80447,0.85025,1.09772,0.74546,0.5811,0.58355,0.37699,1.2373,1.39981,1.33995,0.0004753,0.0004753,0.0004753
55,1397.54,0.79422,0.93944,1.08729,0.86006,0.47464,0.55988,0.37491,1.22606,1.38061,1.34137,0.0004654,0.0004654,0.0004654
56,1422.09,0.79366,0.86092,1.09479,0.88725,0.4519,0.48886,0.32752,1.22876,1.36874,1.32395,0.0004555,0.0004555,0.0004555
57,1446.18,0.7938,1.04775,1.0784,0.87868,0.45294,0.48756,0.33234,1.21133,1.3711,1.30154,0.0004456,0.0004456,0.0004456
58,1471.48,0.92139,1.17153,1.21077,0.89821,0.45753,0.49454,0.33811,1.19387,1.38477,1.2896,0.0004357,0.0004357,0.0004357
59,1497.21,0.83731,0.88802,1.10053,0.90106,0.4508,0.50005,0.34184,1.19867,1.36891,1.29063,0.0004258,0.0004258,0.0004258
60,1521.26,0.85127,1.35489,1.18391,0.71306,0.5533,0.58609,0.42012,1.21448,1.29539,1.32078,0.0004159,0.0004159,0.0004159
61,1544.89,1.1563,1.43391,1.38601,0.82583,0.51979,0.62529,0.44289,1.20595,1.27342,1.31619,0.000406,0.000406,0.000406
62,1568.96,0.70013,0.76171,1.07873,0.8955,0.57497,0.64589,0.45451,1.18757,1.2479,1.31893,0.0003961,0.0003961,0.0003961
63,1594.34,0.8726,0.90924,1.18289,0.84521,0.58297,0.64266,0.4532,1.18036,1.23466,1.31695,0.0003862,0.0003862,0.0003862
64,1618.9,0.79122,0.81523,1.10852,0.7076,0.61518,0.56321,0.39061,1.19009,1.26532,1.3266,0.0003763,0.0003763,0.0003763
65,1643.7,0.74136,0.87001,1.12154,0.65227,0.5617,0.54128,0.37074,1.20657,1.29549,1.33414,0.0003664,0.0003664,0.0003664
66,1666.73,0.73393,0.75582,1.03968,0.65122,0.55442,0.55454,0.37781,1.20873,1.30706,1.33079,0.0003565,0.0003565,0.0003565
67,1690.39,0.99596,1.1077,1.28296,0.68033,0.61936,0.56808,0.38425,1.21588,1.3147,1.34082,0.0003466,0.0003466,0.0003466
68,1714.91,0.72458,0.80791,1.09283,0.75638,0.60153,0.62185,0.42037,1.22116,1.29172,1.34235,0.0003367,0.0003367,0.0003367
69,1740.86,0.71327,0.80946,1.06415,0.73264,0.61052,0.61175,0.41121,1.21444,1.26631,1.33281,0.0003268,0.0003268,0.0003268
70,1764.02,0.67765,0.82009,1.07516,0.74978,0.60288,0.58647,0.39216,1.21942,1.2484,1.32949,0.0003169,0.0003169,0.0003169
71,1787.07,0.67716,0.73209,1.05722,0.73973,0.6107,0.57387,0.37886,1.22388,1.23695,1.32117,0.000307,0.000307,0.000307
72,1812.17,0.73532,0.77637,1.07685,0.68872,0.62926,0.56811,0.36929,1.26984,1.28581,1.34499,0.0002971,0.0002971,0.0002971
73,1837.09,0.72014,0.71462,1.06977,0.67848,0.63789,0.57232,0.36827,1.26874,1.28678,1.35549,0.0002872,0.0002872,0.0002872
74,1860.4,0.69152,0.74512,1.02677,0.67109,0.64675,0.57517,0.3669,1.26752,1.26516,1.36413,0.0002773,0.0002773,0.0002773
75,1885.6,0.89881,2.36253,1.40064,0.66183,0.64589,0.58152,0.37224,1.25778,1.24557,1.35866,0.0002674,0.0002674,0.0002674
76,1908.5,0.70508,0.72677,1.08754,0.70307,0.59299,0.59044,0.39448,1.23106,1.2326,1.34432,0.0002575,0.0002575,0.0002575
77,1932.54,0.76096,0.8379,1.08727,0.72385,0.56354,0.58952,0.39391,1.21818,1.22456,1.33806,0.0002476,0.0002476,0.0002476
78,1957.7,0.69774,0.71778,1.0565,0.75762,0.56089,0.58916,0.39201,1.21046,1.22724,1.33746,0.0002377,0.0002377,0.0002377
79,1982.04,0.65891,0.67327,1.07595,0.77466,0.60768,0.62162,0.41647,1.21174,1.22612,1.34903,0.0002278,0.0002278,0.0002278
80,2006.15,0.72134,0.8682,1.12086,0.78768,0.61108,0.67734,0.45577,1.20117,1.21811,1.33948,0.0002179,0.0002179,0.0002179
81,2027.92,0.63013,0.65929,1.01983,0.86443,0.61027,0.67126,0.45178,1.20398,1.23131,1.33582,0.000208,0.000208,0.000208
82,2053.46,0.73085,0.87815,1.08927,0.87764,0.59386,0.67934,0.45793,1.21521,1.25948,1.32575,0.0001981,0.0001981,0.0001981
83,2079.1,0.68638,0.72125,1.05227,0.75054,0.62713,0.64968,0.43229,1.23231,1.28161,1.32926,0.0001882,0.0001882,0.0001882
84,2103.79,0.65476,0.64618,1.01289,0.803,0.60747,0.69819,0.45439,1.22628,1.27518,1.32023,0.0001783,0.0001783,0.0001783
85,2129.89,0.71169,0.80467,1.06453,0.85304,0.604,0.69217,0.45149,1.21234,1.25715,1.31301,0.0001684,0.0001684,0.0001684
86,2154.22,0.71395,0.76452,1.07995,0.8832,0.60089,0.68777,0.44906,1.20542,1.23907,1.31425,0.0001585,0.0001585,0.0001585
87,2180.57,0.77268,1.62579,1.22537,0.88821,0.60214,0.69586,0.46694,1.19852,1.23073,1.30769,0.0001486,0.0001486,0.0001486
88,2203.51,0.78289,0.73504,1.21223,0.91001,0.59121,0.69941,0.46757,1.19508,1.22025,1.30803,0.0001387,0.0001387,0.0001387
89,2227.77,0.73134,0.75545,1.08088,0.91172,0.59513,0.69672,0.45672,1.19251,1.22054,1.30557,0.0001288,0.0001288,0.0001288
90,2252.91,0.72531,0.74656,1.03473,0.91383,0.58908,0.69833,0.46536,1.19099,1.22044,1.301,0.0001189,0.0001189,0.0001189
91,2276.52,0.67372,0.93603,1.07301,0.90393,0.58749,0.69698,0.46607,1.19152,1.21317,1.30047,0.000109,0.000109,0.000109
92,2305.23,0.70107,1.01857,1.14515,0.91679,0.59401,0.69142,0.46764,1.21143,1.21818,1.3097,9.91e-05,9.91e-05,9.91e-05
93,2327.68,0.67585,1.20906,1.22519,0.9204,0.5903,0.68941,0.46451,1.22443,1.23252,1.31384,8.92e-05,8.92e-05,8.92e-05
94,2354.04,0.69709,0.90916,1.14574,0.90917,0.59039,0.68886,0.46366,1.23497,1.23875,1.3215,7.93e-05,7.93e-05,7.93e-05
95,2378.14,0.93353,1.04088,1.35397,0.91058,0.59547,0.69087,0.46329,1.23866,1.233,1.32833,6.94e-05,6.94e-05,6.94e-05
96,2401.92,0.66597,0.84235,1.13735,0.9312,0.58926,0.68835,0.46674,1.23429,1.22843,1.31979,5.95e-05,5.95e-05,5.95e-05
97,2426.74,0.58317,0.75671,1.0217,0.93538,0.58579,0.68646,0.46963,1.22927,1.22766,1.32025,4.96e-05,4.96e-05,4.96e-05
98,2451.46,0.55863,1.3717,1.02105,0.92185,0.5902,0.68576,0.46995,1.23289,1.22123,1.3265,3.97e-05,3.97e-05,3.97e-05
99,2477.68,0.73315,0.84136,1.0533,0.91969,0.59042,0.68727,0.46959,1.22629,1.2131,1.32892,2.98e-05,2.98e-05,2.98e-05
100,2502.15,0.61022,0.90545,1.1155,0.9333,0.59169,0.6902,0.47223,1.21346,1.20251,1.32275,1.99e-05,1.99e-05,1.99e-05
